side,type,entry_time,exit_time,entry_price,exit_price,size_btc,stop_loss,pnl,half_closed_at_tp1,duration_hours
short,rolling,2025-02-18 16:00:00,2025-02-18 20:00:00,94104.14,95585.28,0.015074,95585.28,-23.77,False,4.0
long,primary,2025-02-25 20:00:00,2025-02-26 16:00:00,88680.4,84679.23,0.035377,84679.23,-144.54,False,20.0
short,primary,2025-02-04 04:00:00,2025-02-28 16:00:00,98448.02,85052.89,0.012562,104680.93,283.53,True,588.0
short,rolling,2025-02-24 12:00:00,2025-02-28 16:00:00,94323.95,85052.89,0.004522,95411.85,48.5,True,100.0
short,rolling,2025-02-24 20:00:00,2025-02-28 16:00:00,91552.88,85052.89,0.002713,93047.43,23.25,True,92.0
long,rolling,2025-03-24 12:00:00,2025-03-24 20:00:00,88350.01,87261.02,0.006816,87261.02,-8.02,False,8.0
long,primary,2025-03-17 00:00:00,2025-03-25 00:00:00,83675.65,86535.03,0.018934,81085.06,124.42,True,192.0
long,rolling,2025-03-24 08:00:00,2025-03-25 00:00:00,87689.52,86745.28,0.01136,86745.28,-11.71,False,16.0
long,primary,2025-04-03 20:00:00,2025-04-06 16:00:00,83213.09,79420.04,0.038558,79420.04,-149.32,False,68.0
short,primary,2025-04-21 16:00:00,2025-04-22 12:00:00,87415.1,89644.7,0.036694,89644.7,-85.1,False,20.0
long,primary,2025-04-09 04:00:00,2025-04-30 12:00:00,77694.12,93392.3,0.012676,71486.47,314.74,True,512.0
long,rolling,2025-04-15 16:00:00,2025-04-30 12:00:00,83998.52,93392.3,0.007606,82115.99,91.55,True,356.0
long,rolling,2025-04-17 04:00:00,2025-04-30 12:00:00,84669.98,93392.3,0.004563,83054.17,50.04,True,320.0
long,rolling,2025-04-17 08:00:00,2025-04-30 12:00:00,84562.0,93392.3,0.002738,82999.1,30.1,True,316.0
short,primary,2025-05-02 16:00:00,2025-05-08 04:00:00,96924.23,99384.53,0.034099,99384.53,-87.28,False,132.0
long,primary,2025-05-28 20:00:00,2025-05-30 00:00:00,107781.78,104958.94,0.030316,104958.94,-88.76,False,28.0
short,primary,2025-05-22 08:00:00,2025-06-03 00:00:00,110981.97,106224.32,0.014727,114009.53,133.81,True,280.0
short,rolling,2025-06-02 04:00:00,2025-06-03 12:00:00,105387.67,106611.12,0.003181,106611.12,-4.23,False,32.0
short,rolling,2025-06-05 16:00:00,2025-06-06 08:00:00,101914.77,103562.45,0.009366,103562.45,-16.4,False,16.0
short,rolling,2025-06-05 16:00:00,2025-06-06 08:00:00,101914.77,103562.45,0.00562,103562.45,-9.84,False,16.0
short,rolling,2025-06-05 16:00:00,2025-06-06 08:00:00,101914.77,103562.45,0.003372,103562.45,-5.9,False,16.0
short,rolling,2025-05-29 16:00:00,2025-06-06 12:00:00,105731.74,104261.25,0.004418,107656.45,18.34,True,188.0
short,rolling,2025-06-01 20:00:00,2025-06-06 12:00:00,105642.93,104261.25,0.002651,106986.23,8.45,True,112.0
short,primary,2025-06-03 04:00:00,2025-06-06 12:00:00,105170.75,104261.25,0.01561,106982.41,53.39,True,80.0
short,rolling,2025-06-13 00:00:00,2025-06-13 20:00:00,104277.22,106058.61,0.009063,106058.61,-17.11,False,20.0
short,primary,2025-06-10 04:00:00,2025-06-16 04:00:00,109205.14,107219.06,0.015104,111099.36,69.69,True,144.0
short,rolling,2025-06-16 00:00:00,2025-06-16 04:00:00,105921.84,107115.91,0.005438,107115.91,-7.08,False,4.0
long,primary,2025-06-18 00:00:00,2025-06-20 16:00:00,105184.84,102370.93,0.031518,102370.93,-91.91,False,64.0
long,primary,2025-06-28 00:00:00,2025-07-01 16:00:00,107300.13,105472.39,0.030541,105472.39,-59.04,False,88.0
short,primary,2025-07-03 00:00:00,2025-07-09 16:00:00,108628.21,110539.21,0.029939,110539.21,-60.52,False,160.0
short,primary,2025-07-10 08:00:00,2025-07-10 16:00:00,111019.99,112820.8,0.029064,112820.8,-55.62,False,8.0
short,primary,2025-07-27 08:00:00,2025-07-27 20:00:00,118072.71,119561.35,0.027118,119561.35,-43.61,False,12.0
long,primary,2025-07-15 20:00:00,2025-08-01 16:00:00,117758.09,113459.78,0.027201,113459.78,-120.0,False,404.0
short,primary,2025-08-14 04:00:00,2025-08-18 16:00:00,121725.31,116791.23,0.012878,125336.15,130.29,True,108.0
short,rolling,2025-08-18 00:00:00,2025-08-18 16:00:00,115319.0,116422.28,0.007727,116422.28,-9.42,False,16.0
short,rolling,2025-08-25 20:00:00,2025-08-26 20:00:00,110111.98,112222.97,0.00826,112222.97,-18.36,False,24.0
short,primary,2025-08-23 00:00:00,2025-09-01 08:00:00,115568.77,109496.2,0.013766,118985.71,151.12,True,224.0
short,rolling,2025-08-28 00:00:00,2025-09-01 08:00:00,112000.01,109496.2,0.002478,113922.72,12.81,True,104.0
short,rolling,2025-08-28 16:00:00,2025-09-01 08:00:00,111901.36,109496.2,0.001487,113758.69,7.39,True,88.0
short,primary,2025-09-05 12:00:00,2025-09-11 20:00:00,110716.82,115328.92,0.029273,115328.92,-138.39,False,152.0
long,primary,2025-09-20 04:00:00,2025-09-22 00:00:00,115968.56,114222.87,0.027459,114222.87,-51.07,False,44.0
long,rolling,2025-09-29 12:00:00,2025-09-30 08:00:00,113815.57,112792.64,0.008694,112792.64,-9.87,False,20.0
long,rolling,2025-09-29 16:00:00,2025-09-30 08:00:00,114265.55,113186.06,0.005216,113186.06,-6.22,False,16.0
short,primary,2025-10-02 04:00:00,2025-10-02 16:00:00,118489.76,120608.62,0.02679,120608.62,-60.0,False,12.0
long,primary,2025-09-26 08:00:00,2025-10-07 12:00:00,109133.5,122324.87,0.01449,106900.21,236.28,True,268.0
long,rolling,2025-10-01 08:00:00,2025-10-07 12:00:00,116789.58,122324.87,0.001565,115265.05,11.86,True,148.0
long,primary,2025-10-08 04:00:00,2025-10-10 12:00:00,121597.06,119075.57,0.026548,119075.57,-70.1,False,56.0
short,rolling,2025-10-17 04:00:00,2025-10-19 12:00:00,105633.75,108315.06,0.008455,108315.06,-23.59,False,56.0
short,primary,2025-10-14 00:00:00,2025-10-20 00:00:00,113500.0,110102.61,0.014092,117815.82,136.04,True,144.0
short,rolling,2025-10-19 12:00:00,2025-10-20 00:00:00,108486.7,110323.89,0.005073,110323.89,-9.88,False,12.0
short,primary,2025-10-20 16:00:00,2025-10-21 12:00:00,110803.22,113093.24,0.029223,113093.24,-70.23,False,20.0
short,rolling,2025-10-29 16:00:00,2025-10-31 08:00:00,110640.0,110438.13,0.004172,112658.75,12.57,True,40.0
short,rolling,2025-10-30 12:00:00,2025-10-31 08:00:00,107711.56,110412.02,0.005006,110412.02,-14.07,False,20.0
short,primary,2025-10-27 08:00:00,2025-11-07 20:00:00,115362.02,103966.64,0.013907,116978.3,189.17,True,276.0
